English,Hungarian
you,te
i,én
the,a
to,nak nek
a,A
it,azt
and,és
that,hogy
of,"nak,-nek"
is,az
in,ban ben
what,mit
we,mi
me,nekem
this,ez
he,ő
for,-ra
my,az én
on,tovább
have,van
your,a te
do,csinál
was,volt
no,nem
not,nem
be,lenni
are,vannak
don,Don
know,tud
can,tud
with,val vel
but,de
all,minden
so,így
just,éppen
there,ott
here,itt
they,ők
like,mint
get,kap
she,ő
go,megy
if,ha
right,jobb
out,ki
about,ról ről
up,fel
at,nál nél
him,neki
now,Most
oh,OH
one,egy
come,jön
well,jól
her,neki
how,hogyan
yeah,igen
will,akarat
got,kapott
want,akar
think,gondol
as,mint
see,lát
did,csinált
good,jó
who,WHO
why,miért
from,tól től
let,enged
his,övé
yes,Igen
when,amikor
going,haladó
time,idő
an,egy
okay,oké
back,vissza
look,néz
us,minket
would,lenne
them,őket
where,ahol
were,voltak
take,vesz
then,akkor
had,volt
or,vagy
been,már
our,a miénk
gonna,fog
tell,Mondd
really,igazán
man,Férfi
some,néhány
say,mond
hey,Hé
could,tudott
didn,nem
by,által
need,szükség
something,valami
has,van
too,is
more,több
way,út
down,le-
make,készít
very,nagyon
never,soha
only,csak
people,emberek
over,felett
because,mert
little,kis
please,kérem
love,szerelem
should,kellene
mean,átlagos
said,mondott
sorry,sajnálom
give,adni
off,ki
am,AM
thank,köszönet
any,Bármi
two,kettő
even,még
much,sokkal
doing,cselekedet
sure,biztos
thing,dolog
these,ezek
help,Segítség
first,első
into,-ba
anything,bármi
still,még mindig
find,megtalálja
life,élet
nothing,semmi
sir,uram
day,nap
god,Isten
work,munka
their,az övék
uh,uh
again,újra
maybe,talán
must,kell
before,előtt
other,Egyéb
wait,várjon
stop,állj meg
call,hívás
after,után
won,nyerte
talk,beszélgetés
away,el
than,mint
thought,gondolat
home,itthon
night,éjszaka
put,elhelyez
great,nagy
those,azok
last,utolsó
better,jobb
everything,minden
told,mondta
mr.,úr.
new,új
things,dolgok
always,mindig
keep,tart
long,hosszú
years,évek
leave,elhagy
does,csinál
money,pénz
around,körül
doesn,nem
name,név
place,hely
ever,valaha
feel,érez
guys,srácok
father,apa
guy,fickó
made,készült
old,régi
isn,ISN
which,melyik
big,nagy
done,Kész
hello,Helló
nice,szép
believe,hinni
girl,lány
someone,valaki
fine,bírság
thanks,Kösz
wanted,vágyó
kind,kedves
coming,eljövetel
house,ház
every,minden
ok,rendben
through,keresztül
being,lény
course,tanfolyam
stay,marad
left,bal
dad,apu
enough,elég
happened,történt
came,jött
may,lehet
mother,anya
wrong,rossz
world,világ
bad,rossz
might,esetleg
three,három
today,Ma
listen,hallgat
another,egy másik
understand,megért
hear,hall
remember,emlékezik
ask,kérdez
own,saját
same,azonos
show,előadás
else,más
kill,megöl
talking,beszél
found,megtalált
next,következő
getting,szerzés
care,gondoskodás
car,autó
looking,kinézetű
son,fiú
try,próbáld ki
woman,nő
went,elment
hi,Szia
dead,halott
many,sok
mind,ész
wasn,volt
friend,barát
mom,anya
hell,pokol
morning,reggel
trying,megpróbálja
boy,fiú
together,együtt
yourself,saját magad
job,munka
saw,fűrész
family,család
real,igazi
without,nélkül
baby,baba
room,szoba
wouldn,nem tenné
already,már
move,mozog
most,a legtöbb
seen,látott
live,élő
miss,hiányzik
actually,tulajdonképpen
huh,Hát
shit,szar
both,mindkét
heard,hallott
once,egyszer
ready,kész
head,fej
called,hívott
used,használt
idea,ötlet
knew,tudta
hold,tart
happy,boldog
door,ajtó
such,ilyen
fuck,baszd
brother,fiú testvér
also,is
pretty,szép
bit,bit
took,vett
haven,menedék
yet,még
men,férfiak
whole,egész
start,Rajt
use,használat
while,míg
since,mivel
wife,feleség
days,napok
guess,Találd ki
tomorrow,holnap
matter,ügy
meet,találkozik
bring,hoz
tonight,ma este
everyone,mindenki
run,fuss
wanna,akarok
hard,kemény
ah,AH
alone,egyedül
myself,magamat
school,iskola
gone,elmúlt
um,um
saying,mondás
phone,telefon
play,játék
looks,kinézet
couldn,nem tudott
fucking,kibaszott
problem,probléma
few,kevés
friends,barátok
gotta,Kell
ago,ezelőtt
open,nyisd ki
anyone,bárki
killed,megölt
hope,remény
face,arc
until,amíg
lost,elveszett
police,rendőrség
excuse,mentség
turn,fordulat
business,üzleti
case,ügy
wants,akar
says,mond
true,igaz
die,meghal
heart,szív
soon,hamar
each,minden egyes
worry,aggodalom
later,a későbbiekben
year,év
watch,néz
music,zene
hand,kéz
having,ha
probably,valószínűleg
beautiful,gyönyörű
doctor,orvos
sit,ül
eat,eszik
thinking,gondolkodás
young,fiatal
second,második
working,dolgozó
water,víz
person,személy
part,rész
kids,gyerekek
late,késő
stuff,dolog
exactly,pontosan
under,alatt
death,halál
minute,perc
pay,fizetés
crazy,őrült
forget,elfelejt
everybody,mindenki
kid,kölyök
change,változás
gave,adott
happen,történik
damn,átkozott
five,öt
drink,ital
far,messze
knows,tud
its,az
whatever,tök mindegy
eyes,szemek
shut,bezár
aren,aréna
hit,találat
taking,bevétel
easy,könnyen
times,idő
check,jelölje be
hands,keze
minutes,percek
deal,üzlet
different,különböző
means,eszközök
point,pont
inside,belül
makes,készít
asked,kérdezte
somebody,valaki
mine,enyém
making,készítés
body,test
afraid,félelmetes
sleep,alvás
chance,véletlen
dear,kedves
quite,egészen
four,négy
anyway,akárhogyan is
close,Bezárás
ain,ain
party,buli
fun,szórakozás
against,ellen
word,szó
comes,jön
important,fontos
set,készlet
shall,fog
story,sztori
number,szám
daughter,lánya
least,legkevésbé
waiting,várakozás
hurt,sért
wish,szeretnék
moment,pillanat
fight,harc
week,hét
husband,férj
girls,lányok
rest,pihenés
married,házas
fire,Tűz
game,"játszma, meccs"
nobody,senki
mr,úr
children,gyermekek
side,oldal
stand,állvány
read,olvas
though,bár
cut,vágott
started,elindult
sister,nővér
supposed,feltételezett
between,között
child,gyermek
goes,elmegy
hours,órák
speak,beszél
women,nők
behind,mögött
almost,majdnem
truth,igazság
able,képes
lady,hölgy
anymore,többé
playing,játék
gets,kap
shot,lövés
reason,ok
trouble,baj
break,szünet
war,háború
city,város
walk,séta
town,város
trust,bizalom
dr.,dr.
met,találkozott
office,hivatal
question,kérdés
brought,hozott
yours,a tiéd
welcome,Üdvözöljük
high,magas
wow,Azta
couple,párosít
half,fél
died,meghalt
cool,menő
free,ingyenes
either,bármelyik
seems,úgy tűnik
power,erő
whoa,hohó
bye,Viszlát
buy,megvesz
telling,sokatmondó
honey,édesem
tried,megpróbálta
front,elülső
team,csapat
answer,válasz
gun,pisztoly
boys,fiúk
line,vonal
send,Küld
news,hírek
stupid,hülye
bed,ágy
hurry,siet
full,teljes
months,hónapok
save,megment
sometimes,néha
become,válik
along,mentén
hate,gyűlöl
food,étel
outside,kívül
light,fény
l,L
needs,igények
dog,kutya
country,ország
clear,egyértelmű
order,rendelés
em,emelő
fact,tény
lord,lord
captain,kapitány
six,hat
hot,forró
funny,vicces
black,fekete
mrs.,Asszony.
alive,élő
pick,szed
feeling,érzés
cause,ok
ahead,előre
lose,elveszít
king,király
plan,terv
dinner,vacsora
sighs,sóhajt
sort,fajta
leaving,kilépő
shouldn,nem szabad
running,futás
boss,főnök
alright,rendben
promise,ígéret
taken,vett
safe,biztonságos
ma,ma
book,könyv
sent,küldött
white,fehér
hour,óra
anybody,bárki
small,kicsi
perfect,tökéletes
lives,élet
special,különleges
parents,szülők
s,S
john,János
himself,saját maga
perhaps,talán
sounds,hangok
serious,komoly
sick,beteg
company,vállalat
ha,Ha
scared,megrémült
uncle,nagybácsi
poor,szegény
red,piros
past,múlt
earth,föld
possible,lehetséges
shoot,lő
touch,érintés
sound,hang
top,felső
ass,szamár
laughs,nevet
asking,kérve
win,győzelem
glad,boldog
control,ellenőrzés
hmm,hmm
human,emberi
drive,hajtás
hair,haj
jack,Jack
bitch,kurva
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apu
finally,végül
chuckles,kuncog
fast,gyors
cold,hideg
seem,látszik
laughing,nevetés
words,szavak
hospital,kórház
street,utca
hang,lóg
dance,tánc
meeting,találkozó
till,amíg
others,mások
catch,fogás
follow,kövesse
sense,érzék
sex,szex
lie,fekszik
evening,este
master,fő-
known,ismert
dream,álom
write,ír
million,millió
voice,hang
sweet,édes
rather,Inkább
felt,filc
sign,jel
lucky,szerencsés
somewhere,valahol
bet,tét
o,o
jesus,Jézus
longer,hosszabb
calling,hívás
worked,dolgozott
quiet,csendes
looked,nézett
less,Kevésbé
pull,Húzni
beat,üt
coffee,kávé
return,Visszatérés
secret,titok
weeks,hetek
weren,gyötrő
date,dátum
seeing,látás
fall,esik
given,adott
ooh,ó
fault,hiba
straight,egyenes
takes,felvétel
song,dal
future,jövő
gentlemen,Urak
loved,szeretett
changed,megváltozott
road,út
calm,nyugodt
wonderful,csodálatos
mad,őrült
turned,fordult
drop,csepp
ladies,hölgyek
learn,tanul
step,lépés
absolutely,teljesen
early,korai
explain,elmagyaráz
clean,tiszta
piece,darab
yesterday,tegnap
throw,dobás
picture,kép
land,föld
feet,láb
wonder,csoda
questions,kérdés
speaking,beszélő
worth,érdemes
darling,Drágám
dude,haver
giving,adás
president,elnök
eye,szem
quick,gyors
moving,mozgó
figure,ábra
state,állapot
strong,erős
sam,SAM
none,egyik sem
amazing,elképesztő
ones,azok
works,művek
act,törvény
needed,szükséges
weird,furcsa
law,törvény
worried,aggódó
report,jelentés
goodbye,viszontlátásra
missing,hiányzó
choice,választás
happening,esemény
chief,fő
wedding,esküvő
strange,furcsa
general,Tábornok
pain,fájdalom
kidding,viccelődés
decided,határozott
ya,ja
pass,átad
tired,fáradt
class,osztály
officer,tiszt
kept,tartotta
wake,ébred
worse,rosszabb
busy,elfoglalt
eh,eh
mistake,hiba
kiss,csók
court,bíróság
building,épület
finish,Befejez
during,alatt
age,kor
ship,hajó
caught,elkapott
marry,feleségül vesz
meant,jelentett
sell,elad
dark,sötét
watching,nézni
system,rendszer
suppose,tegyük fel
evidence,bizonyíték
movie,film
ride,lovagol
t,t
completely,teljesen
mouth,száj
totally,teljesen
birthday,születésnap
tv,tévé
forgive,megbocsát
born,született
imagine,Képzeld el
information,információ
instead,helyette
definitely,egyértelműen
security,Biztonság
certainly,biztosan
film,film
month,hónap
lying,fekvő
unless,hacsak
train,vonat
seven,hét
wear,viselet
michael,Michael
hotel,szálloda
christmas,Karácsony
attack,támadás
hasn,héja
round,kerek
expect,elvár
sing,énekel
terrible,szörnyű
george,György
bag,táska
history,történelem
blue,kék
near,közel
broke,törött
station,állomás
seriously,Komolyan
forever,örökké
david,Dávid
frank,őszinte
except,kivéve
thinks,azt hiszi
message,üzenet
entire,teljes
joe,Joe
table,asztal
talked,beszélt
across,át
rock,szikla
lovely,bájos
handle,fogantyú
middle,középső
buddy,haver
paid,fizetett
protect,véd
using,felhasználás
floor,padló
ran,futott
swear,esküszik
spend,tölt
situation,helyzet
ring,gyűrű
anywhere,bárhol
dangerous,veszélyes
bill,számla
york,York
army,hadsereg
lead,vezet
bought,vett
finished,befejezett
fair,becsületes
sun,nap
letter,levél
fool,bolond
attention,Figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,hely
test,teszt
box,doboz
group,csoport
single,egyetlen
sitting,ülés
marriage,házasság
join,csatlakozik
fear,félelem
d,D
peace,béke
forgot,elfelejtett
force,Kényszerítés
short,rövid
normal,Normál
charlie,Charlie
present,ajándék
enjoy,Élvezd
crime,bűn
horse,ló
ground,talaj
american,Amerikai
count,számol
area,terület
charge,díj
honor,becsület
lunch,ebéd
miles,mérföld
radio,rádió
idiot,idióta
ball,labda
surprise,meglepetés
paper,papír
key,kulcs
boat,hajó
quickly,gyorsan
gold,Arany
bar,rúd
fish,hal
mark,Mark
tom,Tom
wearing,fárasztó
crying,síró
accident,baleset
government,kormány
eight,nyolc
fell,leesett
cover,borító
certain,bizonyos
interested,érdekelt
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémák
detective,nyomozó
prison,börtön
major,Jelentősebb
stick,rúd
offer,ajánlat
difficult,nehéz
smart,Okos
personal,személyes
record,rekord
stopped,leállt
hide,elrejt
whether,hogy
bank,bank
trip,utazás
relax,ellazul
america,Amerika
public,nyilvános
list,lista
afternoon,délután
brain,agy
fix,javítás
bastard,fattyú
proud,büszke
tea,tea
service,szolgáltatás
screaming,sikoltozás
forward,előre
angry,mérges
park,park
soul,lélek
fighting,harc
peter,Péter
rich,gazdag
agent,ügynök
blow,fúj
paul,Pál
dress,ruha
mary,Mária
missed,nem fogadott
scene,színhely
killing,gyilkolás
standing,álló
saved,mentett
mm,mm
respect,tisztelet
killer,gyilkos
ice,jég
mess,rendetlenség
tough,kemény
feels,érzi
church,templom
sad,szomorú
cell,sejt
drunk,részeg
share,Ossza meg
camera,kamera
mm-hmm,mm-hmm
within,belül
card,kártya
fly,légy
ben,Ben
girlfriend,barátnő
laugh,nevetés
smell,szag
broken,törött
mum,mama
honest,becsületes
often,gyakran
starting,indulás
calls,hívás
y,y
spent,költött
third,harmadik
english,angol
visit,látogatás
mama,mama
judge,bíró
window,ablak
hungry,éhes
dare,merészel
relationship,kapcsolat
moved,mozgatott
prove,bizonyít
private,magán
wall,fal
seat,ülés
i-i,I-I
position,pozíció
lieutenant,hadnagy
realize,Rájön
lt,LT
especially,különösen
machine,gép
walking,séta
art,Művészet
pleasure,öröm
bloody,véres
college,főiskola
french,Francia
involved,magában foglal
cry,kiáltás
became,lett
lived,élt
impossible,lehetetlen
obviously,magától értetődően
neither,se
accept,elfogad
boyfriend,fiú barát
besides,kívül
queen,királynő
teacher,tanár
cops,zsaruk
sake,kedvéért
loves,szeret
carry,visz
teach,tanít
apartment,lakás
upset,szomorú
green,zöld
la,LA
liked,tetszett
cute,aranyos
evil,gonosz
professor,Egyetemi tanár
contact,kapcsolatba lépni
joke,tréfa
cop,zsaru
huge,hatalmas
holy,szent
store,bolt
jail,börtön
likes,kedveli
lawyer,jogász
doubt,kétség
continue,folytatni
appreciate,méltányol
cat,macska
shop,üzlet
driving,vezetés
congratulations,Gratulálunk
wrote,írt
village,falu
quit,Kilépés
field,terület
james,James
wine,bor
decision,döntés
south,déli
sleeping,alvás
slow,lassú
laughter,nevetés
island,sziget
glass,üveg
beginning,kezdet
cash,készpénz
dying,haldoklik
hundred,száz
whose,akinek
difference,különbség
plane,repülőgép
push,nyom
continues,folytatja
singing,éneklés
eating,enni
north,északi
mrs,Asszony
tree,fa
madam,Hölgyem
gift,ajándék
truck,kamion
putting,elhelyezés
bear,medve
board,tábla
grab,Megragad
beer,sör
stuck,megragadt
magic,varázslat
support,támogatás
rules,szabályok
grunts,morgás
partner,partner
reach,elér
wind,szél
colonel,ezredes
max,maximum
immediately,azonnal
seconds,másodpercek
thousand,ezer
gives,adás
experience,tapasztalat
cheers,Egészségére
victim,áldozat
upon,esetén
computer,számítógép
christ,Krisztus
planet,bolygó
promised,igért
bus,busz
henry,Henrik
dirty,piszkos
search,keresés
staying,tartózkodás
dreams,álmok
arrest,letartóztatás
holding,holding
suddenly,hirtelen
usually,általában
lots,sok
shoes,cipő
er,ER
jump,ugrás
rid,megszabadít
yo,yo
knock,kopogás
owe,tartozik
harry,Harry
grow,nő
worst,legrosszabb
river,folyó
aunt,néni
patient,beteg
kitchen,konyha
aah,AAH
fat,zsír
passed,elhaladt
final,végső
summer,nyár
bob,bob
listening,hallgatás
escape,menekülni
everywhere,mindenhol
moon,hold
arms,fegyver
turns,fordul
address,cím
ow,ow
match,mérkőzés
gasps,zihál
grand,nagy
yep,Igen
shh,SHH
nervous,ideges
de,de
choose,választ
themselves,maguk
decide,döntsd el
mate,társ
drinking,ivás
press,nyomja meg
bother,zavar
foot,láb
hadn,héja
blame,feddés
crap,szar
drugs,gyógyszerek
type,típus
rings,gyűrű
mission,küldetés
named,nevezett
heaven,menny
picked,válogatott
paris,Párizs
race,verseny
risk,kockázat
books,könyvek
further,további
danny,danny
action,akció
allowed,megengedett
orders,megrendelés
learned,tanult
price,ár
arrived,megérkezett
nick,bukás
otherwise,másképp
pictures,képek
fit,elfér
smoke,füst
favor,kedvelő
played,lejátszott
notice,értesítés
awesome,fantasztikus
smile,mosoly
director,rendező
guard,őr
begin,kezdődik
spot,folt
surprised,meglepődött
innocent,ártatlan
narrator,narrátor
herself,önmaga
london,London
feelings,érzések
enemy,ellenség
battle,csata
ourselves,minket
alex,Alex
dollars,dollár
allow,lehetővé teszi
nine,kilenc
gay,meleg
department,osztály
guilty,bűnös
apart,egymástól
earlier,korábban
duty,kötelesség
jim,Jim
suit,öltöny
bell,harang
west,nyugat
legs,lábak
hero,hős
destroy,elpusztítani
stage,színpad
bunch,csokor
according,szerint
chicken,csirke
bigger,nagyobb
grunting,morgás
low,alacsony
helping,segít
admit,beismerni
closed,zárva
names,nevek
witness,tanú
upstairs,emeleten
arm,kar
steal,lop
jimmy,Jimmy
kick,rúgás
twice,kétszer
cross,kereszt
ways,módokon
sergeant,őrmester
indeed,valóban
gas,gáz
keeping,tartás
energy,energia
pregnant,terhes
waste,Pazarlás
helped,segített
fired,kirúgott
favorite,kedvenc
tony,Tony
taste,íz
locked,zárt
places,hely
writing,írás
adam,Ádám
brothers,testvérek
starts,elindul
prince,herceg
form,forma
sold,eladott
silly,bolondos
mention,említés
build,épít
throat,torok
hole,lyuk
figured,mintás
track,nyomon követni
ringing,csengés
lock,zár
leg,láb
above,felett
hiding,bujkál
steve,Steve
seemed,úgy tűnt
breakfast,reggeli
engine,motor
written,írott
complete,teljes
video,videó
applause,taps
however,azonban
pressure,nyomás
fresh,friss
weapon,fegyver
sky,ég
ms.,Kisasszony.
stole,stóla
study,tanulmány
burn,éget
reading,olvasás
crowd,tömeg
treat,csemege
roll,tekercs
double,kettős
spirit,szellem
danger,veszély
cost,költség
empty,üres
level,szint
memory,memória
itself,maga
acting,ható
interest,érdeklődés
nose,orr
plans,tervek
following,következő
bathroom,fürdőszoba
built,épült
closer,közelebb
ray,sugár
sarah,Sára
band,Zenekar
groans,nyögés
apparently,látszólag
excited,izgatott
richard,Richard
losing,vesztes
animals,állatok
flight,repülési
nature,természet
raise,emel
pop,pop
client,ügyfél
bomb,bomba
neck,nyak
suspect,gyanúsított
warm,meleg
extra,külön-
bottle,üveg
van,kisteherautó
heavy,nehéz
mommy,anyu
dogs,kutyák
wild,vad
ridiculous,nevetséges
simply,egyszerűen
lee,lee
animal,állat
showed,megmutatott
billy,fütykösbot
shooting,lövés
keeps,megtart
camp,tábor
guns,fegyverek
medical,orvosi
shame,szégyen
hoping,remélve
whom,kit
bird,madár
majesty,felség
flowers,virágok
famous,híres
asleep,Alva
beauty,szépség
driver,sofőr
keys,kulcsok
rain,eső
awful,szörnyű
large,nagy
local,helyi
deserve,megérdemel
goddamn,istenverte
stone,kő
jane,Jane
grace,kegyelem
consider,fontolgat
weekend,hétvége
wondering,csodálkozó
lay,világi
plenty,bőven
willing,hajlandó
pants,nadrág
sweetheart,Édesem
skin,bőr
excellent,kiváló
asshole,seggfej
beach,strand
c,c
faith,hit
beg,könyörög
fuckin,kibaszott
responsible,felelős
military,katonai
cheering,éljenzés
opportunity,lehetőség
common,gyakori
bottom,alsó
german,német
whoever,bárki
cook,szakács
walked,sétált
papers,papírok
justice,igazságszolgáltatás
hall,előszoba
commander,parancsnok
drug,drog
main,fő-
knife,kés
devil,ördög
necessary,szükséges
although,habár
princess,hercegnő
lights,Lámpák
flying,repülő
dick,fasz
rose,rózsa
knowing,tudó
clearly,tisztán
hat,kalap
agreed,egyetért
johnny,Johnny
corner,sarok
code,kód
note,jegyzet
tommy,Tommy
due,esedékes
correct,helyes
apologize,bocsánatot kér
language,nyelv
stars,csillagok
faster,gyorsabban
cars,autók
folks,emberek
bullshit,hülyeség
i.,én.
fellow,fickó
several,számos
grandma,nagymama
shows,műsorok
leader,vezető
leaves,levelek
restaurant,étterem
east,keleti
shouting,kiabálás
blind,vak
ghost,szellem
cup,csésze
gotten,megszerzett
tight,szoros
conversation,beszélgetés
tells,elmondja
lies,hazugság
nor,sem
pulled,húzott
hanging,függő
speed,sebesség
stories,történetek
health,Egészség
advice,tanács
held,tartott
uh-huh,UH Huh
murdered,meggyilkolt
beyond,túl
rule,szabály
hardly,alig
possibly,esetleg
inspector,ellenőr
cousin,unokatestvér
trial,próba
emergency,vészhelyzet
ought,kellene
eddie,Eddie
somehow,valahogy
hearing,meghallgatás
states,Államok
account,beszámoló
spoke,beszéltem
file,irat
understood,megértett
angel,angyal
tape,szalag
milk,tej
powerful,erős
weapons,fegyverek
practice,gyakorlat
manager,menedzser
pardon,Bocsánat
vote,szavazás
jake,Jake
national,nemzeti
career,karrier
minister,miniszter
super,szuper
taught,tanított
robert,Robert
biggest,legnagyobb
plays,színdarab
natural,természetes
dancing,tánc
copy,másolat
plus,plusz
martin,Márton
cake,torta
freedom,szabadság
among,között
breath,lehelet
operation,művelet
chris,Chris
crew,legénység
challenge,kihívás
market,piac
meat,hús
towards,felé
bringing,hozás
dropped,csökkent
student,diák
lied,hazugság
strength,erő
size,méret
breathe,lélegzik
color,szín
monster,szörnyeteg
loud,hangos
photo,fénykép
aw,egy
nearly,közel
sight,látás
greatest,legnagyobb
games,játékok
bridge,híd
dressed,öltözött
arrested,letartóztatott
horrible,szörnyű
coach,távolsági busz
planning,tervezés
checked,ellenőrzött
breaking,törés
noticed,megjegyezte
fantastic,fantasztikus
screams,sikít
serve,szolgál
ideas,ötletek
investigation,vizsgálat
center,központ
older,idősebb
pack,csomag
soldiers,katonák
nonsense,ostobaság
doc,dokumentum
project,projekt
training,kiképzés
example,példa
trick,trükk
prepared,előkészített
science,tudomány
united,egyesült
travel,utazás
incredible,hihetetlen
grandpa,nagypapa
paying,fizető
character,karakter
teeth,fogak
criminal,Bűnügyi
charles,Károly
chinese,kínai
truly,valóban
honestly,őszintén
bro,tesó
survive,túlél
bobby,büdös
target,cél
feed,takarmányozás
nurse,ápoló
e,E
fake,hamisítvány
records,nyilvántartás
breathing,lélegző
sweetie,édesem
numbers,szám
oil,olaj
suicide,öngyilkosság
belong,tartozik
whoo,whoo
perfectly,tökéletesen
amy,Amy
forgotten,elfelejtett
remain,marad
original,eredeti
papa,papa
onto,-ra
concerned,aggasztó
credit,hitel
ugh,ugr
invited,meghívott
discuss,megvitat
research,kutatás
easier,könnyebb
view,Kilátás
chair,szék
hurts,fáj
strike,sztrájk
roger,Roger
fill,tölt
condition,feltétel
mountain,hegy
dr,dr.
nowhere,most itt
sheriff,seriff
kim,Kim
turning,fordulás
brown,barna
recognize,elismerik
heads,fej
audience,közönség
jealous,irigy
pretend,színlel
society,társadalom
finding,lelet
shirt,ing
comfortable,kényelmes
meaning,értelem
guest,vendég
pieces,darabok
dry,száraz
letting,engedés
began,elkezdett
aye,igen
jeff,Jeff
female,női
release,kiadás
ho,ho
cards,kártyás kártyák
pray,imádkozik
unfortunately,sajnálatos módon
balls,golyó
destroyed,elpusztult
ended,vége lett
universe,világegyetem
prepare,készít
opinion,vélemény
movies,filmek
soldier,katona
wash,mosás
program,program
heat,melegít
usual,szokásos
ticket,jegy
stolen,lopott
prefer,jobban szeret
aware,tudatában van
surely,biztosan
male,férfi
base,bázis
matters,számít
lift,emel
lab,labor
command,parancs
proof,bizonyíték
cream,krém
selling,eladási
believed,hitt
create,teremt
h,H
afford,enged ki
sunday,vasárnap
total,teljes
dumb,néma
threw,dobta
france,Franciaország
birth,születés
created,létrehozott
realized,megvalósult
british,angol
noise,zaj
nuts,diófélék
students,diákok
birds,madarak
social,szociális
brilliant,ragyogó
bodies,test
tie,nyakkendő
opened,nyitott
ours,a miénk
bucks,dollár
kevin,Kevin
mister,uram
ugly,csúnya
ryan,Ryan
focus,fókusz
dan,Dan
opens,kinyit
exist,létezik
followed,követte
england,Anglia
draw,húz
purpose,célja
letters,betűk
daniel,Dániel
opening,Nyítás
bullet,golyó
anna,Anna
lately,utóbbi időben
stayed,maradt
falling,eső
season,évad
ends,véget ér
suggest,javaslat
joy,öröm
distance,távolság
responsibility,felelősség
whenever,bármikor
issue,probléma
thousands,ezrek
process,folyamat
sword,kard
shower,zuhany
weak,gyenge
fucked,baszott
lonely,magányos
happiness,boldogság
eric,Eric
tiny,apró
desk,asztal
pool,medence
property,ingatlan
forced,kényszerű
settle,leül
indistinct,homályos
weight,súly
received,beérkezett
gang,banda
bite,harapás
friday,péntek
disappeared,eltűnt
interview,interjú
expecting,várható
kinda,kissé
surgery,sebészet
horses,lovak
mayor,polgármester
babe,kisbaba
ancient,ősi
handsome,jóképű
thomas,Tamás
saturday,szombat
staff,személyzet
lines,vonal
unit,Mértékegység
fan,ventilátor
gentleman,úriember
introduce,bemutatni
fate,sors
split,hasított
recently,mostanában
expected,várt
add,hozzáad
ordered,elrendelt
slowly,lassan
alarm,riasztás
member,tag
slept,aludt
signed,aláírt
enter,belép
spanish,spanyol
garden,kert
brings,hoz
brave,bátor
pig,malac
model,modell
finger,ujj
medicine,gyógyszer
access,hozzáférés
failed,nem sikerült
flat,lakás
easily,könnyen
discovered,felfedezett
based,alapú
screw,csavar
insane,őrült
cares,gondoskodik
weather,időjárás
fingers,ujjak
san,SAN
scott,Scott
path,pálya
soft,puha
harm,sérelem
style,stílus
community,közösség
sees,lát
basically,alapvetően
al,al
signal,jel
nope,dehogy
spare,tartalék
speech,beszéd
covered,fedett
shake,ráz
loose,laza
snow,hó
russian,orosz
lake,tó
bright,fényes
roof,tető
ohh,óh
sending,küldés
paint,festék
remind,emlékeztet
pal,haver
naked,meztelen
post,oszlop
sugar,cukor
heading,cím
streets,utcák
damage,kár
silence,csend
doors,ajtók
pete,petéz
ed,szerkesztés
success,siker
wet,nedves
nah,nem
amount,összeg
members,tagok
