English,Hungarian
kate,Kate
manage,kezel
returned,visszatért
harder,nehezebb
fbi,FBI
block,Blokk
showing,bemutatás
fancy,díszes
chef,séf
contract,szerződés
dig,ásás
chest,mellkas
good-bye,viszontlátásra
drinks,ital
dave,Dave
buried,eltemetett
brian,brian
trade,kereskedelmi
journey,utazás
stomach,gyomor
changes,változtatások
details,részletek
thoughts,gondolatok
divorce,válás
funeral,temetés
maria,Maria
football,futball
reality,valóság
theory,elmélet
gosh,mindenit
ruined,romos
gate,kapu
william,Vilmos
spread,terjedés
outta,kívül
japanese,japán
sudden,hirtelen
coat,kabát
sooner,hamarabb
cheese,sajt
larry,Larry
spring,tavaszi
page,oldal
ears,fülek
simon,Simon
castle,kastély
hidden,rejtett
storm,vihar
cos,kötözősaláta
personally,Személyesen
artist,művész
hill,hegy
exciting,izgalmas
permission,engedély
jerry,jerry
expensive,drága
tickets,jegyek
forest,erdő
barely,alig
eggs,tojás
goin,menj be
regret,megbánás
lesson,lecke
lover,szerető
bread,kenyér
andy,Andy
subject,tantárgy
legal,jogi
growing,növekvő
ill,beteg
jason,Jason
mood,hangulat
owner,tulajdonos
caused,okozott
beeping,sípolás
points,pontok
dating,randevú
loss,veszteség
secretary,titkár
revenge,bosszú
santa,Télapó
likely,valószínűleg
rent,bérlés
connection,kapcsolat
assistant,helyettes
reasons,okok
yelling,kiabálás
painting,festmény
trees,fák
doctors,orvosok
rush,rohanás
foreign,külföldi
rough,durva
murderer,gyilkos
century,század
nights,éjszakai
pair,pár
runs,futás
pocket,zseb
farm,Farm
matt,matt
bike,bicikli
obvious,nyilvánvaló
ate,evés
grew,nőtt
professional,szakmai
tim,Tim
goodness,jóság
parts,alkatrészek
alan,Alan
university,egyetemi
square,négyzet
grandfather,nagyapa
europe,Európa
genius,zseni
cases,esetek
ruin,ROM
winter,téli
tongue,nyelv
memories,emlékek
da,da
buying,vásárlás
cancer,rák
clock,óra
dna,DNS
liar,hazug
tour,túra
thief,tolvaj
bleep,robbant
lisa,Lisa
rights,jogok
including,beleértve
competition,verseny
smith,Kovács
planned,tervezett
emily,Emily
boring,unalmas
victims,áldozatok
mentioned,említett
bones,csontok
plant,növény
bless,áldja
warning,Figyelem
knocking,kopogás
re,újra
crash,ütközés
bedroom,hálószoba
lower,Alsó
silver,ezüst
groaning,nyögés
madame,asszonyom
defense,védelem
results,eredmények
toilet,WC
event,esemény
complicated,bonyolult
shape,alak
priest,pap
royal,királyi
cheap,olcsó
romantic,romantikus
downstairs,a földszinten
invite,meghív
fortune,szerencse
tears,könnyek
avoid,elkerül
reached,elért
higher,magasabb
familiar,ismerős
telephone,telefon
burning,égő
filled,megtöltött
kelly,koszos
alice,Alice
airport,repülőtér
jobs,munkakör
grown,felnőtt
walter,Walter
rachel,Rachel
giant,óriás
insurance,biztosítás
woods,fák
scare,megijeszt
pleased,elégedett
period,időszak
political,politikai
player,játékos
stops,megáll
secrets,titkok
laura,Laura
repeat,ismétlés
photos,fotó
finds,leletek
statement,nyilatkozat
suck,szív
younger,fiatalabb
china,Kína
humans,emberek
delicious,finom
particular,különös
proper,megfelelő
rome,Róma
belongs,tartozik
attacked,megtámadott
bath,fürdőkád
hired,bérelt
site,webhely
knowledge,tudás
led,vezette
guests,vendégek
celebrate,ünnepel
map,térkép
horn,kürt
eventually,végül is
pity,kár
powers,hatalom
ashamed,megszégyenülve
assume,feltételezni
glasses,szemüveg
rise,emelkedik
fixed,rögzített
request,kérés
officers,tisztviselők
pounds,font
data,adat
carefully,gondosan
per,egy
depends,attól függ
jury,zsűri
waited,várt
positive,pozitív
attorney,ügyvéd
direction,irány
families,család
doin,csinál
forces,erők
location,elhelyezkedés
walls,falak
useless,hiábavaló
grant,támogatás
saving,megtakarítás
speaks,beszél
fought,harcolt
meal,étkezés
deliver,szállít
answers,válaszadás
changing,változó
temple,templom
scary,ijedős
millions,milliók
offered,felajánlott
regular,szabályos
carrying,hordozás
official,hivatalos
jacket,dzseki
switch,kapcsoló
grave,sír
chase,üldözés
role,szerep
odd,páratlan
sexy,szexis
faces,arcok
becomes,lesz
closes,bezárul
badly,rosszul
tall,magas
confused,zavaros
affair,ügy
television,televízió
shock,sokk
raised,emelt
panting,zihálás
pizza,pizza
image,kép
clears,törlő
golden,aranysárga
patients,betegek
watched,figyelt
committed,elkötelezett
sexual,szexuális
suffer,szenvedni
arthur,Arthur
wherever,bárhol
plate,lemez
appear,megjelenik
chocolate,csokoládé
clever,okos
hm,HM
mercy,kegyelem
shots,felvételek
lucy,Lucy
dealing,foglalkozás
trap,csapda
charges,díj
phil,phil
bang,bumm
poison,méreg
butt,csikk
drove,"hajtott, vezetett"
yourselves,magatok
headed,fejes
babies,babák
yellow,sárga
soup,leves
mystery,rejtély
picking,szedés
sat,ült
wound,seb
traffic,forgalom
courage,bátorság
hunt,vadászat
indian,indián
rat,patkány
terms,kifejezés
italian,olasz
emma,emma
checking,ellenőrzés
disease,betegség
managed,kezelt
winner,győztes
council,tanács
appointment,időpont egyeztetés
monday,hétfő
crack,rés
threat,fenyegetés
jenny,Jenny
physical,fizikai
nation,nemzet
source,forrás
chose,választott
healthy,egészséges
carl,carl
victory,győzelem
rick,rick
stood,állt
kicked,rúgott
annie,Annie
disgusting,undorító
palace,palota
below,lent
shopping,bevásárlás
neighborhood,szomszédság
march,március
lips,ajkak
midnight,éjfél
piss,pisi
advantage,előny
pure,tiszta
india,India
aside,félre
jerk,bunkó
mail,levél
dawn,hajnal
effect,hatás
spell,varázslat
freak,szörnyszülött
wood,faipari
screwed,csavart
enemies,ellenségek
gary,Gary
awake,ébren
chuckling,kuncogva
vacation,vakáció
violence,erőszak
leo,Oroszlán
grandmother,nagymama
modern,modern
luke,lukács
firm,cég
prime,elsődleges
heh,heh
touched,érintett
talent,tehetség
whore,kurva
piano,zongora
license,engedély
cooking,főzés
honour,becsület
concern,vonatkozik
moves,mozog
available,elérhető
factory,gyár
gods,istenek
value,érték
central,központi
union,unió
mirror,tükör
studio,stúdió
media,média
taxi,Taxi
dies,elhuny
iron,Vas
hearts,szív
desire,vágy
rob,rabol
claire,Claire
fred,fred
songs,dalok
washington,Washington
monkey,majom
pride,büszkeség
pills,tabletták
miracle,csoda
swim,úszás
burned,megégett
smells,szagok
joking,viccelődés
christian,keresztény
bleeding,vérzés
hook,horog
beating,verés
protection,védelem
treatment,kezelés
ear,fül
carter,kocsis
metal,fém
disappear,eltűnik
grateful,hálás
extremely,rendkívül
treasure,kincs
rescue,mentés
capable,képes
passing,elhaladó
chatter,csevegés
result,eredmény
suffering,szenvedő
sisters,nővérek
laid,terített
governor,kormányzó
guards,gárdisták
louis,Louis
text,szöveg
literally,szó szerint
remove,eltávolítás
becoming,légy
performance,teljesítmény
stronger,erősebb
rate,mérték
deeply,mélyen
scream,sikoly
desert,sivatag
vehicle,jármű
illegal,illegális
pulling,húzás
throwing,dobás
josh,megtréfál
unbelievable,hihetetlen
ted,ted
zero,nulla
dean,dékán
curious,kíváncsi
sean,Sean
candy,cukorka
bone,csont
tied,bekötött
edge,él
load,Betöltés
susan,Susan
mountains,hegyek
boom,bumm
former,korábbi
holiday,ünnep
riding,lovaglás
scoffs,gúnyol
hundreds,százai
motherfucker,anyabaszó
sue,perel
bags,táskák
stealing,lopás
appears,Megjelenik
arrive,megérkezik
remains,maradványok
decent,megfelelő
issues,problémák
tip,tipp
fail,nem sikerül
bride,menyasszony
pissed,részeg
penny,penny
claim,követelés
friendship,barátság
desperate,kétségbeesett
flower,virág
dramatic,drámai
refuse,megtagadja
solve,megold
theme,téma
loving,szerető
properly,megfelelően
dragon,sárkány
mostly,többnyire
chuck,dugasz
directly,közvetlenül
surface,felület
false,hamis
cast,öntvény
junior,ifjúsági
hunting,vadászat
silent,csendes
thou,te
egg,tojás
germany,Németország
punch,puncs
africa,Afrika
woke,felébredt
intelligence,intelligencia
borrow,hitelt kölcsönöz
winning,nyerő
falls,esés
popular,népszerű
escaped,elmenekült
witch,boszorkány
convinced,meggyőződve
warn,figyelmeztet
announcer,bemondó
champagne,pezsgő
dust,por
kyle,Kyle
someday,majd egyszer
fallen,elesett
stranger,idegen
presence,jelenlét
tear,könny
st.,utca.
internet,Internet
monsieur,úr
therefore,ebből adódóan
technology,technológia
tires,gumiabroncsok
toast,pirítós
wise,bölcs
clark,zúgó
americans,amerikaiak
notes,jegyzet
smoking,dohányzó
hank,gombolyag
ls,LS
april,április
wolf,farkas
precious,értékes
rooms,szobák
coast,tengerpart
treated,kezelt
material,anyag
released,elengedett
uniform,egyenruha
hated,gyűlölt
considered,figyelembe vett
rice,rizs
exchange,csere
steps,lépések
blake,takár
convince,meggyőz
beast,vadállat
cow,tehén
files,irat
signs,jelek
drag,húzás
cab,taxi
hung,lógott
carried,hordozott
ordinary,rendes
successful,sikeres
eve,előeste
mistakes,hibák
houses,házak
chattering,csevegés
brains,agyvelő
japan,Japán
creature,teremtmény
fourth,negyedik
separate,különálló
cleaning,tisztítás
california,Kalifornia
shift,váltás
elizabeth,Erzsébet
chicago,Chicago
exact,pontos
karen,Karen
goal,cél
expert,szakértő
served,kiszolgált
direct,közvetlen
score,pontszám
row,sor
marks,jelek
twenty,húsz
receive,kap
series,sorozat
section,szakasz
pilot,pilóta
jackson,jackson
darkness,sötétség
thy,tiéd
sale,eladás
destiny,sors
cure,gyógymód
spoken,beszélt
armed,fegyveres
rare,ritka
helen,Helen
grade,fokozat
juice,gyümölcslé
wide,széles
tower,torony
solution,megoldás
schedule,menetrend
explosion,robbanás
wheel,kerék
cigarette,cigaretta
julie,julie
fruit,gyümölcs
blew,fújt
victor,győztes
talks,tárgyalások
sacrifice,áldozat
range,hatótávolság
button,gomb
reports,jelentések
prisoner,Rab
pie,pite
effort,erőfeszítés
youth,ifjúság
pot,edény
eaten,evett
taylor,Taylor
knees,térd
garage,garázs
parking,parkolás
ambulance,mentőautó
staring,bámulás
chances,esély
circumstances,körülmények
sin,bűn
gordon,Gordon
progress,előrehalad
unusual,szokatlan
county,megye
stairs,lépcsők
campaign,kampány
vision,látomás
reporter,riporter
equipment,felszerelés
moments,pillanatok
joey,Joey
mass,tömeg
alien,idegen
trapped,csapdába esett
helps,segít
route,útvonal
defend,védekez
trace,nyom
nasty,csúnya
tests,tesztek
magazine,magazin
rocks,sziklák
dump,lerak
rude,durva
searching,keresés
clue,nyom
connected,csatlakoztatva
amen,ámen
pushed,meglökött
merry,vidám
zone,zóna
senior,idősebb
closing,záró
freeze,fagy
emperor,császár
incident,incidens
snake,kígyó
mexico,Mexikó
lily,liliom
actor,színész
newspaper,újság
sentence,mondat
greg,Greg
leading,vezető
friendly,barátságos
jones,Jones
chosen,választott
engaged,elkötelezett
julia,Julia
charming,bájos
mustn,kötelező
anger,harag
spending,kiadások
learning,tanulás
spy,kém
sharp,éles
shadow,árnyék
warrant,garantál
elevator,lift
kingdom,királyság
ricky,ricky
jamie,Jamie
squad,osztag
shoulder,váll
wave,hullám
amanda,Amanda
highness,fenség
kinds,fajta
fishing,halászat
sometime,majd valamikor
attitude,hozzáállás
sucks,szar
negative,negatív
screen,képernyő
workers,munkavállalók
bored,unott
cameras,kamerák
similar,hasonló
understanding,megértés
beeps,sípol
chain,lánc
bull,bika
gasping,zümmögés
fully,teljesen
robin,vörösbegy
collect,gyűjt
gorgeous,gyönyörű
morgan,Morgan
passion,szenvedély
writer,író
empire,Birodalom
international,nemzetközi
curse,átok
hire,bérel
bastards,roham
puts,elhelyez
leads,vezet
id,személyazonosság
blows,fúj
sons,fiai
estate,birtok
customers,ügyfelek
maggie,mágikus
gunshot,puskalövés
i-,én-
device,eszköz
troops,csapatok
hug,Ölelés
design,tervezés
movement,mozgalom
thunder,mennydörgés
object,tárgy
loser,vesztes
pen,toll
sobbing,zokogás
politics,politika
despite,annak ellenére
alcohol,alkohol
climb,mászik
clients,ügyfelek
conference,konferencia
provide,biztosítani
marty,marty
seek,keres
witnesses,tanúk
earn,pénzt keres
trash,szemét
valley,völgy
fashion,divat
howard,húgyos
episode,epizód
prize,díj
previously,korábban
sports,sport
wanting,vágyó
debt,adósság
wishes,kívánságok
hitler,Hitler
wire,huzal
thee,téged
circle,kör
approach,megközelítés
stock,Készlet
facts,tények
remembered,Emlékezett
percent,százalék
normally,normális esetben
tail,farok
joined,csatlakozott
education,oktatás
bravo,bravo
library,könyvtár
rape,erőszak
wings,szárnyak
growling,morgás
thrown,dobott
tank,tartály
exhales,kilégzés
authority,hatóság
current,jelenlegi
failure,kudarc
nightmare,lidércnyomás
hitting,ütés
glory,dicsőség
knocked,kopogtatott
studying,tanul
barry,barry
agency,ügynökség
apple,alma
border,határ
rope,kötél
duck,kacsa
reputation,hírnév
confidence,bizalom
yard,udvar
beloved,szeretett
lack,hiány
actual,tényleges
skills,készség
films,filmek
mental,szellemi
salt,só
flesh,hús
anne,Anne
secure,biztonságos
highly,magasan
federal,szövetségi
sand,homok
emotional,érzelmi
setting,beállítás
nothin,semmi
senator,szenátor
services,szolgáltatás
robbery,rablás
hates,utál
fed,táplált
reward,jutalom
johnson,Johnson
commit,elkövetni
patrick,Patrick
entirely,teljesen
extraordinary,rendkívüli
ships,hajók
opposite,szemben
parties,a felek
stands,állvány
terry,tompa
chat,csevegés
events,események
mummy,múmia
bay,öböl
slip,csúszás
disappointed,csalódott
settled,rendezett
begins,elkezdődik
andrew,András
alert,éber
detail,Részlet
pink,rózsaszín
fellas,fickó
accepted,elfogadott
background,háttér
garbage,szemét
panic,pánik
minds,elme
belt,öv
blowing,fúj
hollywood,Hollywood
agreement,megegyezés
jackie,jackie
pushing,toló
ability,képesség
tiger,tigris
whispering,suttogó
culture,kultúra
saint,szent
jesse,jesse
task,feladat
solid,szilárd
doll,baba
intend,szándékozik
district,kerület
pa,PA
gee,Jé
custody,őrizet
ignore,figyelmen kívül hagyni
naturally,természetesen
useful,hasznos
attempt,kísérlet
abandoned,elhagyatott
cutting,vágás
kissed,megcsókolt
guarantee,garancia
barking,ugató
gather,összegyűjt
policy,irányelv
u.s.,minket.
violent,erőszakos
maid,szobalány
embarrassing,kínos
childhood,gyermekkor
wasting,pazarlás
bow,íj
chick,csaj
sara,Sara
disaster,katasztrófa
revolution,forradalom
online,online
f,f
demon,démon
heavily,súlyosan
coincidence,véletlen egybeesés
perform,fellép
thin,vékony
terrific,félelmetes
mac,MAC
crown,korona
identity,identitás
virgin,szűz
impressive,hatásos
windows,ablakok
no-one,senki
potential,lehetséges
guitar,gitár
committee,bizottság
dozen,tucat
delivery,kézbesítés
advance,előleg
quietly,csendesen
stan,stan
teaching,tanítás
hunter,vadász
latest,legújabb
hurting,fájás
swing,hinta
capital,főváros
counting,számolás
drew,rajzolt
dirt,piszok
whistle,síp
marie,Marie
hits,slágerek
doug,Doug
deny,tagadni
urgent,sürgős
threatened,fenyegető
behavior,viselkedés
molly,molly
mixed,vegyes
stays,marad
assure,biztosít
subtitles,felirat
explanation,magyarázat
wins,győzelem
unique,egyedi
chasing,üldözés
billion,"milliárd, ezermillió"
duke,herceg
production,Termelés
slave,rabszolga
agents,ügynökök
carol,ének
lets,engedt
cruel,kegyetlen
mask,maszk
sally,kirohanás
behave,viselkedik
bury,eltemet
massive,tömeges
pathetic,szánalmas
species,faj
approaching,közeledik
jo,jous
loan,hitel
struggle,küzdelem
dish,tál
trusted,megbízható
jumped,ugrott
firing,égetés
channel,csatorna
abby,Abby
stopping,megálló
asks,- kérdezi
jean,farmer
swimming,úszás
daily,napi
basement,pince
linda,Linda
quarter,negyed
erm,ERM
bound,összekötött
navy,haditengerészet
article,cikk
guide,útmutató
accused,vádlott
transfer,átruházás
guts,belek
quality,minőség
fella,fickó
roman,római
greater,nagyobb
damned,Átkozott
couch,kanapé
cheer,éljenzés
vegas,Vegas
shoe,cipő
title,cím
shy,félénk
punishment,büntetés
los,los
clicks,kattintás
closet,fülke
bye-bye,Viszlát
fever,láz
coward,gyáva
flash,vaku
impressed,lenyűgözött
bruce,bruce
siren,sziréna
prisoners,foglyok
sides,oldal
bowl,tál
katie,Katie
supply,kínálat
sensitive,érzékeny
hopefully,remélhetőleg
rolling,gördülő
roy,roy
dollar,dollár
tone,hangzás
voices,hang
g,g
cheating,csalás
confess,bevallani
demand,igény
museum,múzeum
unknown,ismeretlen
suspicious,gyanús
adult,felnőtt
todd,todd
frightened,rémült
warned,figyelmeztetett
steady,állandó
kills,megöl
crossed,keresztezett
lou,lukt
particularly,különösen
sandwich,szendvics
laws,törvény
joint,közös
bullets,golyó
package,csomag
trained,kiképzett
thursday,csütörtök
boots,csizma
possibility,lehetőség
albert,Albert
civil,civil
june,június
germans,németek
baseball,baseball
express,Expressz
miserable,nyomorult
tuesday,kedd
parker,Parker
lion,oroszlán
joseph,József
refused,megtagadta
shine,ragyog
assault,támadás
hong,Hong
jokes,viccek
breaks,szünet
argue,érvel
you-,te-
trail,nyom
option,választási lehetőség
recall,visszahívás
mighty,hatalmas
collection,Gyűjtemény
oliver,oliver
wilson,Wilson
accent,hangsúly
believes,hisz
decisions,döntések
embarrassed,zavart
mobile,Mobil
customer,vevő
terribly,szörnyen
sec,SEC
charity,adomány
considering,figyelembe véve
pussy,punci
donna,donna
protecting,védelem
flag,zászló
kidnapped,elrabolt
italy,Olaszország
balance,egyensúly
creatures,lények
nuclear,nukleáris
wallet,pénztárca
shout,kiáltás
vincent,Vincent
entered,belépett
impression,benyomás
angela,Angela
jay,jay
degrees,fokozat
favour,kedvelő
reaction,reakció
network,hálózat
jessica,jessica
version,változat
concert,koncert
gear,felszerelés
singer,énekes
diamond,gyémánt
defeat,vereség
steven,István
lane,sáv
blast,robbanás
wounded,sebesült
anytime,bármikor
partners,partnerek
ages,korosztály
charlotte,Charlotte
ceremony,ünnepség
league,liga
bars,rúd
orange,narancs
specific,különleges
conditions,körülmények
plastic,műanyag
crisis,válság
fifth,ötödik
term,kifejezés
self,maga
offering,ajánlat
bud,bimbó
suffered,szenvedett
reported,jelentett
commissioner,biztos
rip,Nyugodj békében
mysterious,rejtélyes
entrance,bejárat
messed,összezavarodott
tunnel,alagút
designed,tervezett
neighbor,szomszéd
aboard,fedélzeten
sweat,izzad
justin,Justin
ghosts,szellemek
crimes,bűncselekmények
costs,költségek
deserves,megérdemel
dreaming,álmodozó
bust,Mellbőség
el,elutazó
teddy,mackó
kong,Kong
messages,üzenetek
enjoying,élvezve
afterwards,később
comfort,kényelem
mason,kőműves
surrender,megadás
gym,tornaterem
kitty,cica
crush,összetör
yup,Aha
arranged,elrendezett
suits,ruhák
pee,pisil
stress,feszültség
cave,barlang
wing,szárny
jordan,Jordánia
arrange,rendezni
comrade,elvtárs
noble,nemes
tricks,trükkök
betty,betty
launch,dob
legend,legenda
mix,keverd össze
golf,golf
imagination,képzelet
fox,róka
kissing,csókolózás
butter,vaj
tax,adó
gross,bruttó
edward,Edward
texas,Texas
insist,ragaszkodik valamihez
marcus,Marcus
classic,klasszikus
selfish,önző
skull,koponya
frankie,Frankie
shown,Látható
bat,denevér
survived,túlélt
print,nyomtatás
champion,bajnok
bills,számlák
therapy,terápia
lifetime,élettartam
throughout,egész
a.m.,A.M.
nathan,Nathan
toward,felé
sauce,szósz
experiment,kísérlet
margaret,margaret
describe,leír
ross,Ross
grass,fű
cheat,csal
attend,részt vesz
homework,házi feladat
lewis,Lewis
betrayed,elárult
servant,szolgáló
cap,sapka
tyler,Tyler
bible,Biblia
practically,gyakorlatilag
catherine,Catherine
steel,acél
wipe,törlés
burns,éget
j,J
generation,generáció
cabin,kabin
financial,pénzügyi
industry,ipar
bond,kötvény
sheep,juh
scientists,tudósok
beaten,legyőzött
heck,a fene
deck,fedélzet
script,forgatókönyv
brand,márka
degree,fokozat
painful,fájdalmas
coughing,köhögés
religion,vallás
cats,macskák
stephen,István
influence,befolyás
fuel,üzemanyag
drawing,rajz
uh-oh,UH Oh
rabbit,nyúl
exercise,gyakorlat
attractive,vonzó
touching,megható
virus,vírus
realise,Rájön
torture,kínzás
blessed,áldott
plain,egyszerű
rebecca,tündér
recent,friss
barbara,Barbara
footsteps,lépcső
sacred,szent
removed,eltávolított
pretending,színlelő
wasted,elpazarolt
jewish,zsidó
goodnight,jó éjszakát
robot,robot
crystal,kristály
confirm,megerősít
lad,legény
mile,mérföld
division,osztály
scratch,karcolás
reminds,emlékeztet
walks,séta
ending,befejező
russia,Oroszország
contest,verseny
valuable,értékes
distant,távoli
dumped,eldobott
motion,mozgás
electricity,elektromosság
centre,központ
murders,gyilkosság
tina,tina
jeremy,Jeremy
seal,fóka
standard,alapértelmezett
ellen,Ellen
wore,viselt
surrounded,körülvett
struck,ütött
inform,tájékoztat
gentle,kedves
status,állapot
purse,pénztárca
prints,nyomatok
players,játékosok
charged,töltött
begging,könyörgés
delivered,kiszállított
kenny,kenny
buck,bak
nina,nina
construction,Építkezés
confirmed,megerősített
confession,gyónás
trigger,indítvány
cells,sejtek
frankly,őszintén szólva
ali,ali
exit,kijárat
response,válasz
cancel,megszünteti
argument,érv
principal,fő
turkey,pulyka
lucas,Lucas
clinic,klinika
greetings,üdvözlet
neighbors,szomszédok
vice,helyettes
toy,játék
hannah,Hannah
everyday,minden nap
generous,nagylelkű
gain,nyereség
idiots,idióták
holly,magyal
enjoyed,élvezett
jungle,dzsungel
link,link
underground,föld alatt
smiling,mosolygás
mistress,úrnő
teams,csapatok
product,termék
beef,marhahús
whispers,suttog
religious,vallási
presents,ajándékok
identify,azonosítani
chip,Forgács
chffffff,chffffff
surveillance,felügyelet
carlos,carlos
vampire,vámpír
routine,rutin
uses,felhasználás
michelle,Michelle
underneath,alul
systems,rendszer
temperature,hőfok
waves,hullámok
tribe,törzs
brad,fejnélküli
deputy,helyettes
sophie,Sophie
headquarters,központ
equal,egyenlő
phones,telefon
ken,ken
reckon,számol
related,összefüggő
incredibly,hihetetlenül
chill,hideg
spit,nyárs
tracks,pályák
oscar,OSCAR
makeup,smink
bug,bogár
sounded,hangzott
spirits,szellemek
nerve,ideg
divorced,elvált
stake,tét
port,kikötő
doorbell,csengő csengő
worries,aggodalom
nephew,unokaöcs
miller,molnár
units,egységek
just-,éppen-
proceed,folytassa
landing,leszállás
traitor,áruló
outfit,felszerelés
chloe,chloe
bail,óvadék
fields,mezők
patience,türelem
recording,felvétel
foolish,bolond
loaded,töltött
tokyo,Tokió
davis,davis
costume,kosztüm
wayne,Wayne
injured,sérült
somethin,valami
ian,ian
pet,házi kedvenc
cage,ketrec
digging,ásás
seats,ülések
awkward,kínos
cleaned,megtisztított
pattern,minta
filthy,mocskos
visiting,látogató
jews,zsidók
answering,válaszadás
concentrate,sűrítmény
someplace,valahol
citizens,polgárok
aim,cél
nancy,nancy
affairs,ügyek
thick,vastag
sport,Sport
basic,alapvető
electric,elektromos
pleasant,kellemes
cliff,szikla
nail,köröm
russell,Russell
environment,környezet
western,nyugati
average,átlagos
ease,könnyed
raped,megerőszakolt
interrupt,megszakít
judy,Judy
satisfied,elégedett
beep,sípolás
starving,éhező
documents,dokumentumok
anniversary,évforduló
beth,buta
election,választás
warrior,harcos
forth,tovább
fetch,letöltés
banks,bankok
placed,elhelyezett
timing,időzítés
stones,kövek
complex,összetett
frozen,fagyott
replace,cserél
prayer,ima
skip,kihagyás
angeles,Angeles
guilt,bűnösség
tune,dallam
woo,udvarol
actions,cselekedetek
conscience,lelkiismeret
officially,hivatalosan
martha,Martha
machines,gépek
smaller,kisebb
determined,eltökélt
blown,kifulladt
hail,jégeső
unhappy,boldogtalan
booth,bódé
pour,öntés
berlin,Berlin
cleared,tisztított
packed,csomagolt
wrap,betakar
randy,rázkós
behalf,neve
reasonable,ésszerű
trunk,törzs
homes,házak
festival,fesztivál
tradition,hagyomány
cigarettes,cigaretta
le,le
beside,mellett
harvey,harci
motive,indíték
beings,lények
bishop,püspök
dealer,kereskedő
defendant,alperes
backup,biztonsági mentés
wounds,sebek
ouch,Jaj
ann,ann
nearby,Közeli
drank,ivott
effects,hatások
jonathan,jonathan
dennis,Dennis
benefit,haszon
adventure,kaland
p,p
territory,terület
ve,ve
apology,bocsánatkérés
dylan,dylan
unlike,nem úgy mint
owns,tulajdonosa
boxes,dobozok
thus,és így
clay,agyag
developed,fejlett
busted,elrobbant
pipe,cső
gray,szürke
no.,nem.
goods,áruk
favourite,kedvenc
salad,saláta
loyal,hűséges
atmosphere,légkör
eva,EVA
freaking,rettenetes
dropping,csepegés
strangers,idegenek
mouse,egér
downtown,belváros
francisco,Francisco
heroes,hősök
pit,gödör
rotten,rothadt
paradise,paradicsom
meantime,közben
jess,jess
organization,szervezet
hills,dombok
exam,vizsga
cock,kakas
fairy,tündér
earl,gróf
comment,megjegyzés
activity,tevékenység
frame,keret
knight,lovag
testing,tesztelés
habit,szokás
shelter,menedék
flow,folyam
jennifer,Jennifer
holes,lyukak
prevent,megakadályoz
anthony,anthony
lend,kölcsönöz
cooper,kádár
figures,figurák
boston,Boston
sample,minta
strip,szalag
landed,leszállt
buzzing,zümmögő
monk,szerzetes
slightly,némileg
produce,termel
annoying,bosszantó
judgment,ítélet
laundry,mosoda
ron,ron
lousy,tetves
souls,lelkek
existence,létezés
belly,has
tries,megpróbál
foster,elősegíti
returning,visszatérő
answered,válaszolt
ward,gyülekezet
plants,növények
actress,színésznő
chairman,elnök
individual,Egyedi
hopes,remények
tattoo,tetoválás
fence,kerítés
sink,mosogató
punk,punk
confident,magabiztos
yay,Hurrá
mistaken,téves
limit,határ
bothering,zavaró
st,utca
